,Emoji,Unicode,Hex
142,👎🏽,b'\\U0001f44e\\U0001f3fd',b'\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbd'
143,👎🏾,b'\\U0001f44e\\U0001f3fe',b'\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbe'
144,👎🏿,b'\\U0001f44e\\U0001f3ff',b'\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbf'
145,✊🏻,b'\\u270a\\U0001f3fb',b'\xe2\x9c\x8a\xf0\x9f\x8f\xbb'
146,✊🏼,b'\\u270a\\U0001f3fc',b'\xe2\x9c\x8a\xf0\x9f\x8f\xbc'
147,✊🏽,b'\\u270a\\U0001f3fd',b'\xe2\x9c\x8a\xf0\x9f\x8f\xbd'
148,✊🏾,b'\\u270a\\U0001f3fe',b'\xe2\x9c\x8a\xf0\x9f\x8f\xbe'
149,✊🏿,b'\\u270a\\U0001f3ff',b'\xe2\x9c\x8a\xf0\x9f\x8f\xbf'
150,👊🏻,b'\\U0001f44a\\U0001f3fb',b'\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb'
151,👊🏼,b'\\U0001f44a\\U0001f3fc',b'\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc'
152,👊🏽,b'\\U0001f44a\\U0001f3fd',b'\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbd'
153,👊🏾,b'\\U0001f44a\\U0001f3fe',b'\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe'
154,👊🏿,b'\\U0001f44a\\U0001f3ff',b'\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbf'
155,🤛🏻,b'\\U0001f91b\\U0001f3fb',b'\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbb'
156,🤛🏼,b'\\U0001f91b\\U0001f3fc',b'\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbc'
157,🤛🏽,b'\\U0001f91b\\U0001f3fd',b'\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbd'
158,🤛🏾,b'\\U0001f91b\\U0001f3fe',b'\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbe'
159,🤛🏿,b'\\U0001f91b\\U0001f3ff',b'\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbf'
160,🤜🏻,b'\\U0001f91c\\U0001f3fb',b'\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbb'
161,🤜🏼,b'\\U0001f91c\\U0001f3fc',b'\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbc'
162,🤜🏽,b'\\U0001f91c\\U0001f3fd',b'\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbd'
163,🤜🏾,b'\\U0001f91c\\U0001f3fe',b'\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbe'
164,🤜🏿,b'\\U0001f91c\\U0001f3ff',b'\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbf'
165,👏🏻,b'\\U0001f44f\\U0001f3fb',b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
166,👏🏼,b'\\U0001f44f\\U0001f3fc',b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc'
167,👏🏽,b'\\U0001f44f\\U0001f3fd',b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd'
168,👏🏾,b'\\U0001f44f\\U0001f3fe',b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe'
169,👏🏿,b'\\U0001f44f\\U0001f3ff',b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf'
170,🙌🏻,b'\\U0001f64c\\U0001f3fb',b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb'
171,🙌🏼,b'\\U0001f64c\\U0001f3fc',b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc'
172,🙌🏽,b'\\U0001f64c\\U0001f3fd',b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd'
173,🙌🏾,b'\\U0001f64c\\U0001f3fe',b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe'
174,🙌🏿,b'\\U0001f64c\\U0001f3ff',b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf'
175,🫶🏻,b'\\U0001faf6\\U0001f3fb',b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb'
176,🫶🏼,b'\\U0001faf6\\U0001f3fc',b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc'
177,🫶🏽,b'\\U0001faf6\\U0001f3fd',b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd'
178,🫶🏾,b'\\U0001faf6\\U0001f3fe',b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbe'
